Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
451,Evan Longoria,36,SFG,298,.329,108,.297,.207,4.7%,27.9%,9.1%,91.1,46.8%,24.2%,37.1%,29.0%,0.59,30.1%,51.6%,18.3%,0.7,0.1%,5.0,21%,,39%,longoev01
452,Christian Lopes,29,OAK,10,.069,-73,.000,.000,0.0%,50.0%,10.0%,91.1,25.0%,50.0%,25.0%,0.0%,0.33,25.0%,50.0%,25.0%,-0.4,-0.2%,-2.8,0%,,0%,lopesch01
453,Alejo Lopez,26,CIN,156,.287,68,.301,.069,0.6%,13.5%,5.8%,83.8,20.7%,30.6%,47.6%,18.5%,0.91,30.6%,48.4%,21.0%,-0.6,-0.1%,-0.3,28%,75%,33%,lopezal03
454,Nicky Lopez,27,KCR,480,.264,58,.265,.046,0.0%,13.1%,6.0%,82.9,22.9%,24.7%,51.8%,15.4%,1.17,26.1%,51.7%,22.2%,-2.5,-0.3%,-30.3,37%,81%,64%,lopezni01
455,Otto Lopez,23,TOR,10,.538,300,.750,.000,0.0%,10.0%,10.0%,85.5,37.5%,37.5%,50.0%,12.5%,1.00,25.0%,62.5%,12.5%,0.3,0.0%,2.5,0%,0%,100%,lopezot01
456,Brandon Lowe,27,TBR,266,.308,101,.263,.162,3.0%,22.9%,10.2%,89.1,38.9%,24.6%,37.7%,26.3%,0.61,29.7%,54.9%,15.4%,0.2,0.1%,2.8,31%,100%,46%,lowebr01
457,Josh Lowe,24,TBR,198,.280,79,.336,.122,1.0%,33.3%,7.6%,87.7,37.1%,31.0%,35.3%,29.3%,0.55,22.4%,58.6%,19.0%,-0.5,-0.2%,-5.3,41%,100%,37%,lowejo01
458,Nathaniel Lowe,26,TEX,645,.373,144,.363,.191,4.2%,22.8%,7.4%,90.2,45.0%,26.0%,48.0%,21.5%,0.93,26.5%,55.2%,18.4%,2.0,0.5%,24.8,23%,50%,27%,lowena01
459,Jed Lowrie,38,OAK,184,.232,44,.213,.084,1.6%,21.2%,8.2%,85.8,30.8%,21.5%,40.8%,29.2%,0.70,37.7%,43.1%,19.2%,-1.3,-0.3%,-11.0,26%,100%,38%,lowrije01
460,Jordan Luplow,28,ARI,234,.295,84,.185,.185,4.7%,25.6%,10.7%,87.2,33.1%,14.4%,41.1%,32.9%,0.70,37.7%,47.9%,14.4%,-0.3,0.1%,-7.0,28%,83%,28%,luplojo01
461,Gavin Lux,24,LAD,471,.330,103,.341,.124,1.3%,20.2%,10.0%,88.0,39.9%,24.0%,49.5%,21.9%,0.98,37.4%,46.8%,15.8%,-0.3,0.5%,-3.4,38%,78%,55%,luxga01
462,Dixon Machado,30,SFG,17,.236,42,.300,.000,0.0%,29.4%,5.9%,71.6,10.0%,20.0%,40.0%,30.0%,0.67,10.0%,70.0%,20.0%,-0.4,-0.1%,-2.8,20%,,0%,machadi01
463,Manny Machado,29,SDP,644,.392,162,.337,.234,5.0%,20.7%,9.8%,91.5,49.0%,29.1%,37.6%,23.7%,0.60,30.0%,50.1%,19.9%,4.5,2.8%,44.6,33%,90%,56%,machama01
464,Vimael Machín,28,OAK,253,.277,79,.270,.067,0.4%,18.6%,9.9%,89.3,39.1%,25.7%,44.7%,27.4%,0.81,27.9%,48.6%,23.5%,-0.2,0.0%,-4.9,33%,50%,29%,machivi01
465,David MacKinnon,27,TOT,57,.199,17,.206,.000,0.0%,29.8%,10.5%,85.0,20.6%,20.6%,50.0%,20.6%,1.00,26.5%,50.0%,23.5%,-0.1,0.0%,-4.7,15%,,,mackida01
466,David MacKinnon,27,LAA,43,.247,50,.269,.000,0.0%,27.9%,11.6%,86.5,26.9%,26.9%,42.3%,23.1%,0.73,23.1%,50.0%,26.9%,0.0,0.0%,-2.3,0%,,,mackida01
467,David MacKinnon,27,OAK,14,.049,-87,.000,.000,0.0%,35.7%,7.1%,80.1,0.0%,0.0%,75.0%,12.5%,3.00,37.5%,50.0%,12.5%,-0.1,0.0%,-2.4,200%,,,mackida01
468,Nick Madrigal,25,CHC,228,.275,69,.286,.033,0.0%,11.8%,6.1%,85.1,24.6%,23.9%,60.9%,9.8%,1.62,19.6%,57.6%,22.8%,-0.7,-0.6%,-12.1,28%,75%,50%,madrini01
469,Bligh Madris,26,PIT,123,.231,39,.235,.088,0.8%,25.2%,8.1%,88.2,41.5%,19.5%,51.2%,23.2%,1.08,41.5%,35.4%,23.2%,-1.0,0.0%,-7.0,30%,67%,50%,madribl01
470,Luke Maile,31,CLE,206,.291,86,.291,.105,1.5%,26.2%,9.2%,84.5,25.4%,20.8%,37.7%,32.3%,0.60,25.4%,58.5%,16.2%,-1.0,-0.7%,-5.5,27%,,27%,mailelu01
471,Martín Maldonado,35,HOU,379,.268,66,.228,.166,4.0%,30.6%,5.8%,87.2,40.3%,20.9%,41.5%,29.5%,0.73,29.5%,52.1%,18.4%,-1.5,-0.6%,-15.8,32%,,9%,maldoma01
472,Trey Mancini,30,TOT,587,.321,104,.286,.152,3.1%,23.0%,9.0%,89.5,40.5%,25.4%,40.6%,27.8%,0.68,31.9%,50.1%,18.0%,0.0,0.0%,3.7,23%,,37%,mancitr01
473,Trey Mancini,30,BAL,401,.343,120,.326,.136,2.5%,21.5%,8.7%,89.6,43.0%,28.8%,39.5%,26.2%,0.65,32.1%,47.6%,20.3%,0.4,0.0%,14.1,23%,,36%,mancitr01
474,Trey Mancini,30,HOU,186,.274,71,.191,.188,4.3%,26.3%,9.7%,89.5,34.7%,17.8%,43.2%,31.4%,0.76,31.4%,55.9%,12.7%,-0.4,0.0%,-10.3,23%,,40%,mancitr01
475,Tucupita Marcano,22,PIT,177,.246,48,.270,.100,1.1%,24.9%,5.7%,82.0,17.2%,20.5%,42.6%,23.8%,0.83,36.1%,50.8%,13.1%,-1.1,0.0%,-6.6,38%,67%,40%,marcatu01
476,Manuel Margot,27,TBR,363,.312,104,.332,.101,1.1%,18.7%,6.6%,88.0,38.2%,26.8%,43.5%,17.5%,0.81,22.3%,55.0%,22.7%,0.3,0.5%,2.1,28%,70%,67%,margoma01
477,Jake Marisnick,31,PIT,82,.305,91,.314,.156,2.4%,29.3%,4.9%,82.2,43.4%,22.2%,29.6%,27.8%,0.50,31.5%,50.0%,18.5%,-0.6,-0.4%,-4.1,33%,67%,63%,marisja01
478,Deven Marrero,31,NYM,6,.041,-123,.000,.000,0.0%,50.0%,0.0%,70.2,0.0%,33.3%,66.7%,0.0%,2.00,33.3%,66.7%,0.0%,0.0,0.0%,-1.1,0%,100%,,marrede01
479,Brandon Marsh,24,TOT,461,.301,88,.360,.139,2.4%,34.3%,6.1%,87.6,38.2%,26.1%,41.5%,27.9%,0.74,29.0%,51.5%,19.5%,-1.2,-0.6%,1.6,30%,71%,47%,marshbr02
480,Brandon Marsh,24,LAA,323,.284,75,.341,.127,2.5%,36.2%,6.8%,86.5,36.5%,22.7%,43.6%,28.7%,0.81,26.0%,54.7%,19.3%,-0.9,-0.4%,-0.7,31%,80%,50%,marshbr02
481,Brandon Marsh,24,PHI,138,.338,118,.398,.167,2.2%,29.7%,4.4%,89.9,41.8%,33.0%,37.4%,26.4%,0.62,35.2%,45.1%,19.8%,-0.4,-0.2%,2.3,29%,50%,42%,marshbr02
482,Ketel Marte,28,ARI,558,.319,103,.276,.167,2.2%,18.1%,9.9%,90.0,42.0%,24.5%,42.9%,25.3%,0.76,34.6%,49.7%,15.7%,-1.0,0.1%,-7.3,34%,83%,52%,marteke01
483,Starling Marte,33,NYM,505,.360,135,.340,.176,3.2%,19.2%,5.2%,86.6,33.9%,26.0%,49.6%,20.1%,0.99,29.0%,52.8%,18.2%,3.1,1.9%,22.7,38%,67%,43%,martest01
484,Richie Martin,27,BAL,33,.249,46,.250,.133,0.0%,30.3%,9.1%,86.5,35.0%,25.0%,50.0%,20.0%,1.00,20.0%,65.0%,15.0%,0.0,0.0%,0.4,44%,75%,25%,martiri01
485,J.D. Martinez,34,BOS,596,.346,117,.345,.174,2.7%,24.3%,8.7%,89.1,41.8%,26.7%,38.2%,30.8%,0.62,19.6%,56.4%,24.0%,-0.5,-0.1%,-6.9,32%,,23%,martijd02
486,Michael Massey,24,KCR,194,.318,98,.304,.133,2.1%,23.7%,4.6%,86.8,38.5%,22.9%,34.4%,31.3%,0.56,43.5%,45.0%,11.5%,-0.6,0.0%,-2.5,21%,100%,27%,massemi02
487,Miles Mastrobuoni,26,TBR,17,.214,23,.300,.000,0.0%,35.3%,5.9%,86.3,10.0%,10.0%,70.0%,20.0%,2.33,50.0%,40.0%,10.0%,0.0,0.0%,-0.9,20%,100%,,mastrmi01
488,Jorge Mateo,27,BAL,533,.293,78,.286,.158,2.4%,27.6%,5.1%,85.6,32.8%,26.7%,36.9%,25.9%,0.60,21.9%,58.8%,19.3%,-2.5,-0.9%,-18.8,38%,80%,67%,mateojo01
489,Mark Mathias,27,TOT,91,.380,142,.304,.259,6.6%,33.0%,9.9%,90.2,46.2%,25.0%,42.3%,30.8%,0.73,19.2%,63.5%,17.3%,0.8,-0.1%,8.9,29%,100%,13%,mathima01
490,Mark Mathias,27,MIL,17,.241,37,.083,.188,5.9%,23.5%,0.0%,90.8,53.8%,15.4%,38.5%,46.2%,0.63,30.8%,53.8%,15.4%,-0.2,-0.1%,-1.2,100%,100%,,mathima01
491,Mark Mathias,27,TEX,74,.412,167,.382,.277,6.8%,35.1%,12.2%,90.0,43.6%,28.2%,43.6%,25.6%,0.77,15.4%,66.7%,17.9%,1.0,0.0%,10.1,26%,100%,13%,mathima01
492,J.J. Matijevic,26,HOU,71,.286,77,.300,.119,2.8%,35.2%,2.8%,88.8,42.9%,21.4%,57.1%,19.0%,1.33,33.3%,45.2%,21.4%,-0.3,-0.1%,-3.3,31%,100%,29%,matijjj01
493,Nick Maton,25,PHI,85,.363,133,.325,.264,5.9%,34.1%,11.8%,85.5,31.1%,24.4%,31.1%,33.3%,0.47,37.8%,53.3%,8.9%,0.2,0.0%,4.9,33%,,33%,matonni01
494,Jack Mayfield,31,LAA,74,.240,43,.231,.086,1.4%,23.0%,4.1%,84.5,24.5%,17.0%,45.3%,30.2%,0.83,24.5%,52.8%,22.6%,-0.5,-0.3%,-5.1,44%,100%,43%,mayfija01
495,Nomar Mazara,27,SDP,171,.304,99,.342,.088,1.2%,23.4%,5.9%,86.1,32.8%,26.9%,36.1%,29.4%,0.57,28.6%,52.9%,18.5%,-0.1,0.0%,-1.6,26%,,40%,mazarno01
496,Patrick Mazeika,28,NYM,72,.219,32,.207,.103,1.4%,12.5%,2.8%,82.2,18.0%,19.7%,37.7%,26.2%,0.66,45.9%,42.6%,11.5%,-0.2,-0.1%,-4.6,21%,,17%,mazeipa01
497,James McCann,32,NYM,191,.256,58,.244,.086,1.6%,24.1%,5.8%,89.8,40.8%,26.2%,36.2%,30.8%,0.57,24.6%,56.9%,18.5%,-0.5,-0.5%,-5.2,35%,100%,36%,mccanja02
498,Jake McCarthy,24,ARI,354,.359,124,.349,.143,2.3%,21.5%,6.5%,85.5,33.7%,22.9%,47.8%,21.7%,1.00,32.1%,53.0%,14.9%,1.4,0.1%,20.0,39%,88%,56%,mccarja02
499,Chas McCormick,27,HOU,407,.326,110,.308,.162,3.4%,26.0%,11.3%,86.9,39.0%,22.0%,41.7%,31.9%,0.75,19.3%,57.5%,23.2%,-0.2,-0.1%,3.2,27%,57%,41%,mccorch01
500,Andrew McCutchen,35,MIL,580,.310,98,.278,.148,2.9%,21.4%,9.8%,89.1,40.1%,24.1%,41.8%,28.1%,0.72,32.7%,52.9%,14.4%,-0.2,-0.2%,-0.6,30%,57%,39%,mccutan01
501,Mickey McDonald,27,OAK,6,.229,44,.000,.000,0.0%,50.0%,33.3%,89.3,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.1,0%,,,mcdonmi01
502,Reese McGuire,27,TOT,274,.301,85,.332,.100,1.1%,20.4%,4.4%,84.4,29.7%,28.2%,36.6%,20.3%,0.63,28.7%,48.5%,22.8%,-0.4,-0.2%,-6.4,27%,100%,35%,mcguire01
503,Reese McGuire,27,CHW,166,.248,48,.283,.060,0.0%,19.9%,3.6%,82.5,25.6%,24.8%,36.0%,20.8%,0.63,29.6%,45.6%,24.8%,-0.6,-0.2%,-5.0,27%,,27%,mcguire01
504,Reese McGuire,27,BOS,108,.382,142,.411,.163,2.8%,21.3%,5.6%,87.6,36.4%,33.8%,37.7%,19.5%,0.64,27.3%,53.2%,19.5%,0.2,0.0%,-1.4,27%,100%,43%,mcguire01
505,Ryan McKenna,25,BAL,172,.287,79,.350,.103,1.2%,32.0%,6.4%,84.3,30.1%,25.0%,40.4%,25.0%,0.72,29.8%,47.1%,23.1%,-0.4,-0.2%,-3.1,32%,67%,75%,mckenry01
506,Billy McKinney,27,OAK,57,.144,-20,.111,.077,1.8%,28.1%,7.0%,82.6,21.6%,18.9%,37.8%,35.1%,0.64,29.7%,51.4%,18.9%,-0.6,-0.4%,-7.0,22%,,0%,mckinbi01
507,Zach McKinstry,27,TOT,185,.290,73,.257,.163,2.7%,28.1%,8.7%,85.1,30.2%,31.0%,37.1%,25.0%,0.61,34.5%,44.0%,21.6%,-0.1,0.1%,-3.4,34%,100%,67%,mckinza01
508,Zach McKinstry,27,LAD,14,.295,78,.000,.273,7.1%,28.6%,21.4%,89.3,42.9%,42.9%,42.9%,14.3%,0.75,71.4%,14.3%,14.3%,0.1,0.1%,1.8,75%,,50%,mckinza01
509,Zach McKinstry,27,CHC,171,.290,73,.272,.155,2.3%,28.1%,7.6%,84.8,29.4%,30.3%,36.7%,25.7%,0.61,32.1%,45.9%,22.0%,-0.2,0.0%,-5.2,30%,100%,69%,mckinza01
510,Ryan McMahon,27,COL,597,.328,96,.311,.168,3.4%,26.5%,10.1%,91.3,46.6%,26.2%,43.6%,27.5%,0.79,28.3%,52.1%,19.5%,0.0,0.4%,-1.2,27%,70%,45%,mcmahry01
511,Jeff McNeil,30,NYM,589,.365,137,.353,.128,1.5%,10.4%,6.8%,86.7,30.2%,30.0%,40.7%,22.9%,0.69,29.4%,50.0%,20.6%,1.1,1.7%,19.5,30%,100%,39%,mcneije01
512,Austin Meadows,27,DET,147,.310,105,.288,.078,0.0%,11.6%,10.9%,87.8,40.0%,27.0%,37.8%,24.3%,0.61,27.0%,57.7%,15.3%,-0.3,0.0%,-2.0,18%,0%,36%,meadoau01
513,Francisco Mejía,26,TBR,299,.282,83,.292,.138,2.0%,21.7%,2.3%,86.8,28.0%,28.9%,36.9%,26.2%,0.58,36.0%,48.0%,16.0%,-0.4,0.0%,-8.4,36%,,33%,mejiafr01
514,MJ Melendez,23,KCR,534,.311,97,.258,.176,3.4%,24.5%,12.4%,90.7,43.7%,20.8%,39.6%,32.7%,0.66,38.4%,47.3%,14.3%,-0.8,-0.2%,-2.0,26%,40%,48%,melenmj01
515,Danny Mendick,28,CHW,106,.347,120,.352,.155,2.8%,21.7%,6.6%,85.1,20.0%,28.0%,42.7%,24.0%,0.78,24.0%,54.7%,21.3%,0.4,0.2%,0.9,56%,100%,42%,mendida01
516,Joey Meneses,30,WSN,240,.396,163,.371,.239,5.4%,21.7%,6.3%,91.4,47.4%,25.6%,47.7%,23.8%,0.91,28.5%,50.6%,20.9%,1.0,0.0%,3.2,27%,100%,39%,menesjo01
517,Oscar Mercado,27,TOT,128,.276,78,.236,.165,3.1%,22.7%,3.9%,86.3,29.0%,18.3%,32.3%,35.5%,0.48,29.0%,59.1%,11.8%,-0.5,-0.3%,-4.6,39%,50%,40%,mercaos01
518,Oscar Mercado,27,CLE,127,.279,80,.236,.167,3.2%,22.1%,3.9%,86.3,29.0%,18.3%,32.3%,35.5%,0.48,29.0%,59.1%,11.8%,-0.5,-0.3%,-4.3,39%,50%,40%,mercaos01
519,Oscar Mercado,27,PHI,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,mercaos01
520,Yermín Mercedes,29,SFG,83,.313,97,.291,.110,1.2%,20.5%,10.8%,87.5,28.6%,25.0%,26.8%,33.9%,0.37,25.0%,51.8%,23.2%,-0.3,-0.2%,-2.9,31%,,46%,merceye01
521,Whit Merrifield,33,TOT,550,.297,85,.276,.125,2.0%,15.5%,6.9%,86.3,31.2%,22.2%,40.3%,28.8%,0.69,22.0%,57.4%,20.6%,0.8,-0.4%,-1.4,37%,76%,35%,merriwh01
522,Whit Merrifield,33,KCR,420,.289,76,.266,.112,1.4%,14.5%,7.1%,86.5,30.8%,24.3%,38.0%,30.4%,0.63,21.3%,57.8%,21.0%,0.4,-0.3%,-0.7,39%,83%,36%,merriwh01
523,Whit Merrifield,33,TOR,130,.324,113,.312,.165,3.9%,18.5%,6.2%,86.0,32.7%,15.3%,48.0%,23.5%,0.96,24.5%,56.1%,19.4%,0.4,-0.1%,-0.7,33%,33%,33%,merriwh01
524,Jake Meyers,26,HOU,160,.268,67,.344,.087,0.6%,33.8%,4.4%,86.0,37.5%,25.8%,52.6%,16.5%,1.16,27.8%,57.7%,14.4%,-0.5,-0.1%,-4.4,28%,67%,22%,meyerja02
525,Brad Miller,32,TEX,241,.265,65,.274,.108,2.9%,29.1%,7.5%,90.8,40.1%,19.6%,41.8%,28.1%,0.73,27.5%,51.0%,21.6%,-0.4,0.1%,-3.6,22%,67%,23%,millebr02
526,Owen Miller,25,CLE,472,.292,86,.290,.108,1.3%,19.7%,6.8%,85.8,31.3%,26.8%,43.8%,22.9%,0.78,24.4%,56.8%,18.8%,-0.9,-0.6%,-5.2,33%,100%,37%,milleow01
527,Jose Miranda,24,MIN,483,.334,118,.307,.158,3.1%,18.8%,5.8%,89.3,42.5%,24.0%,42.4%,25.4%,0.74,30.8%,50.3%,18.9%,-0.8,0.0%,-0.4,21%,50%,43%,miranjo01
528,Calvin Mitchell,23,PIT,232,.291,81,.276,.123,2.2%,22.4%,7.8%,89.6,40.7%,30.2%,45.7%,21.6%,0.85,40.7%,45.7%,13.6%,-1.5,-0.2%,-7.6,26%,75%,47%,mitchca01
529,Garrett Mitchell,23,MIL,68,.390,134,.548,.148,2.9%,41.2%,8.8%,91.5,41.2%,29.4%,38.2%,29.4%,0.65,14.7%,52.9%,32.4%,0.7,0.4%,1.7,29%,100%,63%,mitchga01
530,Yadier Molina,39,STL,270,.244,52,.234,.088,1.9%,14.8%,1.9%,84.7,26.0%,20.2%,39.0%,29.6%,0.64,25.1%,54.3%,20.6%,-2.0,-1.2%,-14.8,24%,100%,0%,molinya01
531,Yoán Moncada,27,CHW,433,.283,74,.265,.141,2.8%,26.3%,7.4%,88.2,37.8%,21.1%,38.6%,32.6%,0.64,29.8%,50.9%,19.3%,-1.4,-0.7%,-5.7,27%,100%,37%,moncayo01
532,Adalberto Mondesí,26,KCR,54,.183,-13,.233,.000,0.0%,37.0%,7.4%,81.3,26.7%,10.0%,46.7%,23.3%,1.17,30.0%,53.3%,16.7%,-0.8,-0.5%,-4.9,27%,100%,33%,mondera02
533,Nate Mondou,27,OAK,3,.229,44,.000,.000,0.0%,33.3%,33.3%,54.3,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.1,0.0%,-0.3,0%,,,mondona01
534,Mickey Moniak,24,TOT,112,.224,30,.254,.132,2.7%,39.3%,3.6%,83.3,31.7%,19.0%,34.9%,30.2%,0.56,46.0%,38.1%,15.9%,-1.1,-0.4%,-7.6,44%,100%,43%,moniami01
535,Mickey Moniak,24,PHI,50,.156,-18,.222,.022,0.0%,38.0%,6.0%,82.3,28.6%,14.3%,50.0%,25.0%,1.08,50.0%,35.7%,14.3%,-0.7,-0.4%,-6.3,36%,,0%,moniami01
536,Mickey Moniak,24,LAA,62,.277,69,.281,.217,4.8%,40.3%,1.6%,84.1,34.3%,22.9%,22.9%,34.3%,0.31,42.9%,40.0%,17.1%,-0.4,0.0%,-1.3,50%,100%,50%,moniami01
537,Elehuris Montero,23,COL,185,.307,81,.318,.199,3.2%,32.4%,4.3%,89.8,39.7%,28.4%,36.2%,28.4%,0.57,25.9%,59.5%,14.7%,-0.3,-0.1%,2.2,33%,,39%,monteel01
538,Dylan Moore,29,SEA,255,.342,124,.320,.161,2.4%,29.4%,13.3%,86.4,36.4%,22.0%,31.8%,32.6%,0.48,29.5%,55.3%,15.2%,1.0,0.3%,0.2,36%,72%,60%,mooredy01
539,Colin Moran,29,CIN,128,.301,79,.234,.165,3.9%,23.4%,12.5%,90.4,39.5%,20.7%,50.0%,28.0%,1.00,41.5%,40.2%,18.3%,-0.6,-0.1%,-2.2,18%,,29%,moranco01
540,Christopher Morel,23,CHC,425,.327,109,.320,.198,3.8%,32.2%,8.9%,87.9,40.3%,18.2%,49.0%,24.3%,1.02,30.8%,54.3%,15.0%,-0.5,0.0%,-1.4,33%,59%,59%,morelch01
541,Gabriel Moreno,22,TOR,73,.324,108,.350,.058,1.4%,11.0%,5.5%,89.2,32.8%,24.6%,55.7%,14.8%,1.26,14.8%,52.5%,32.8%,0.0,-0.1%,0.7,35%,,27%,morenga01
542,Taylor Motter,32,CIN,6,.150,-29,.333,.000,0.0%,50.0%,0.0%,85.7,33.3%,33.3%,33.3%,0.0%,0.50,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,0%,,,motteta01
543,Ryan Mountcastle,25,BAL,609,.318,102,.303,.173,3.6%,25.3%,7.1%,91.3,46.8%,25.7%,37.3%,32.1%,0.59,20.8%,54.9%,24.3%,0.3,0.0%,4.0,24%,80%,36%,mountry01
544,Mike Moustakas,33,CIN,285,.287,68,.272,.131,2.5%,26.3%,8.4%,87.6,33.9%,23.3%,35.0%,25.6%,0.54,34.4%,51.7%,13.9%,-0.8,-0.2%,-10.5,30%,100%,32%,moustmi01
545,Cedric Mullins,27,BAL,672,.326,104,.299,.145,2.4%,18.8%,7.0%,87.3,37.5%,21.1%,38.3%,26.4%,0.65,38.1%,46.1%,15.8%,-0.4,-0.3%,-0.8,37%,77%,49%,mullice01
546,Max Muncy,31,LAD,565,.322,97,.227,.188,3.7%,25.0%,15.9%,90.0,45.7%,20.1%,31.9%,39.5%,0.47,41.9%,44.4%,13.7%,0.1,-0.7%,10.4,29%,100%,33%,muncyma01
547,Yairo Munoz,27,PHI,60,.298,83,.205,.193,5.0%,16.7%,5.0%,85.0,36.2%,12.8%,66.0%,17.0%,1.94,36.2%,44.7%,19.1%,0.1,0.1%,-0.9,29%,100%,50%,munozya01
548,Sean Murphy,27,OAK,612,.333,119,.290,.177,2.9%,20.3%,9.2%,88.7,41.4%,27.0%,42.1%,23.4%,0.73,31.8%,50.2%,17.9%,0.2,-0.5%,6.7,27%,100%,38%,murphse01
549,Tom Murphy,31,SEA,42,.397,168,.474,.152,2.4%,31.0%,19.1%,94.3,60.0%,35.0%,35.0%,30.0%,0.54,35.0%,40.0%,25.0%,-0.1,0.0%,2.7,47%,,33%,murphto04
550,Símon Muzziotti,23,PHI,9,.203,8,.200,.000,0.0%,22.2%,0.0%,79.5,16.7%,33.3%,16.7%,33.3%,0.25,33.3%,0.0%,66.7%,-0.1,-0.1%,-1.5,0%,,,muzzisi01
551,Wil Myers,31,SDP,286,.309,103,.357,.138,2.5%,30.1%,7.3%,88.2,38.1%,26.4%,40.4%,26.4%,0.69,26.4%,46.6%,27.0%,-0.2,0.0%,0.4,27%,67%,48%,myerswi01
552,Tyler Naquin,31,TOT,334,.302,85,.291,.194,3.3%,27.8%,5.7%,89.0,41.2%,24.3%,38.1%,29.4%,0.64,30.3%,52.3%,17.4%,-1.1,-0.9%,0.2,41%,67%,52%,naquity01
553,Tyler Naquin,31,CIN,204,.318,93,.307,.198,3.4%,26.0%,6.4%,88.7,39.8%,25.9%,34.8%,28.9%,0.56,31.9%,49.6%,18.5%,-0.1,0.1%,8.0,40%,60%,62%,naquity01
554,Tyler Naquin,31,NYM,130,.277,74,.266,.187,3.1%,30.8%,4.6%,89.5,43.4%,21.7%,43.4%,30.1%,0.78,27.7%,56.6%,15.7%,-1.0,-0.9%,-7.8,44%,100%,38%,naquity01
555,Omar Narváez,30,MIL,296,.271,69,.248,.099,1.4%,19.3%,9.8%,83.8,18.4%,24.2%,34.8%,34.8%,0.55,29.5%,51.7%,18.8%,-0.5,-0.3%,-14.2,21%,,31%,narvaom01
556,Bo Naylor,22,CLE,8,.000,-125,.000,.000,0.0%,62.5%,0.0%,93.9,33.3%,33.3%,0.0%,66.7%,0.00,0.0%,66.7%,33.3%,-0.2,0.0%,-1.5,,,,naylobo01
557,Josh Naylor,25,CLE,498,.340,120,.268,.196,4.0%,16.1%,7.6%,89.4,43.0%,20.9%,49.5%,22.5%,0.98,36.4%,48.4%,15.2%,2.8,1.9%,14.6,19%,86%,22%,naylojo01
558,Sheldon Neuse,27,OAK,293,.259,63,.289,.074,1.4%,27.3%,6.8%,89.1,39.0%,20.4%,62.8%,15.2%,1.69,15.2%,55.5%,29.3%,-0.2,0.5%,0.3,27%,86%,44%,neusesh01
559,Tyler Nevin,25,BAL,184,.276,72,.259,.064,1.1%,25.0%,10.9%,87.3,38.1%,25.4%,39.5%,28.1%,0.65,21.1%,56.1%,22.8%,-1.1,-0.3%,-8.3,28%,,23%,nevinty01
560,Kevin Newman,28,PIT,309,.311,94,.322,.097,0.7%,15.5%,5.2%,85.0,27.4%,28.0%,42.4%,18.9%,0.76,27.6%,53.1%,19.3%,-0.4,0.1%,-2.3,31%,80%,65%,newmake01
561,Tomás Nido,28,NYM,313,.269,69,.314,.085,1.0%,24.3%,4.5%,82.2,33.5%,24.8%,46.4%,19.4%,1.00,18.9%,58.1%,23.0%,-1.7,-1.4%,-18.7,35%,,10%,nidoto01
562,Brandon Nimmo,29,NYM,673,.361,136,.317,.159,2.4%,17.2%,10.6%,88.5,40.0%,21.7%,50.4%,20.6%,1.05,25.5%,54.5%,20.0%,2.0,1.9%,25.8,37%,60%,39%,nimmobr01
563,Austin Nola,32,SDP,397,.302,98,.284,.078,1.0%,15.1%,8.6%,89.2,39.9%,27.3%,42.1%,24.2%,0.73,31.0%,50.5%,18.5%,-0.4,-0.3%,-1.5,29%,67%,36%,nolaau01
564,Lars Nootbaar,24,STL,347,.344,123,.248,.221,4.0%,20.5%,14.7%,90.5,46.0%,23.7%,43.8%,25.0%,0.81,36.2%,48.7%,15.2%,0.7,0.3%,9.4,36%,80%,50%,nootbla01
565,Dom Nuñez,27,COL,41,.198,3,.160,.030,0.0%,24.4%,14.6%,85.3,32.0%,24.0%,28.0%,40.0%,0.39,24.0%,68.0%,8.0%,-0.1,0.0%,-5.4,30%,,0%,nunezdo01
566,Ryan O'Hearn,28,KCR,145,.273,68,.313,.082,0.7%,24.1%,5.5%,91.5,48.5%,28.0%,45.0%,21.0%,0.83,39.0%,43.0%,18.0%,0.1,-0.1%,-0.8,31%,,27%,ohearry01
567,Logan O'Hoppe,22,LAA,16,.311,96,.364,.000,0.0%,18.8%,12.5%,84.3,9.1%,18.2%,45.5%,27.3%,0.83,18.2%,72.7%,9.1%,0.0,0.0%,0.4,17%,,0%,ohopplo01
568,Brian O'Keefe,28,SEA,4,.397,166,1.000,.000,0.0%,50.0%,25.0%,87.6,0.0%,100.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,0.2,0%,,,okeefbr01
569,Tyler O'Neill,27,STL,383,.312,99,.277,.165,3.7%,26.9%,9.9%,89.8,43.5%,25.2%,42.4%,25.2%,0.74,30.7%,52.5%,16.8%,0.3,-0.2%,1.4,40%,78%,54%,oneilty01
